11/05/2024	
Pattern groups for guesses from the Large Vocabulary words list (14,855 words) into Wordlebot’s Classic Solutions list (2,309 words)										
qty = qty of possible remaining words groups, i.e. the number of different clue patterns for the guess
ent = remaining words groups entropy in bits (powers of 2)
min, max = minimum and maximum group sizes amongst the number of different clue patterns for the guess
ave = average group size, i.e. # solutions / # groups
exp = expected group size, i.e. sum of each group size * expectation for that group 
p2 = group size population variance

sorted by entropy

guess	qty	ent     min     max     ave     exp     p2
rance	130	5.616	1	263	17.762	82.20	1144.60
litre	125	5.614	1	209	18.472	76.21	1066.62
prase	138	5.614	1	269	16.732	88.65	1203.30
heart	141	5.612	1	261	16.376	89.14	1191.64
alone	124	5.611	1	182	18.621	77.16	1090.06
store	125	5.611	1	244	18.472	80.85	1152.20
ronte	125	5.607	1	260	18.472	81.38	1162.04
alien	135	5.607	1	220	17.104	83.64	1137.99
tared	132	5.607	1	268	17.492	84.61	1173.96
rales	117	5.606	1	205	19.735	72.59	1043.03
share	130	5.605	1	238	17.762	85.43	1201.98
grate	125	5.605	1	275	18.472	84.27	1215.40
soler	117	5.602	1	215	19.735	77.93	1148.50
stoae	110	5.602	1	176	20.991	74.65	1126.43
lears	117	5.600	1	205	19.735	76.88	1127.77
anile	129	5.598	1	220	17.899	82.25	1151.77
terai	113	5.595	1	193	20.434	74.89	1112.81
sared	118	5.594	1	256	19.568	81.02	1202.55
trail	129	5.593	1	218	17.899	79.16	1096.48
laten	137	5.592	1	205	16.854	78.39	1037.09
urase	112	5.592	1	201	20.616	77.00	1162.40
serai	110	5.591	1	167	20.991	72.75	1086.39
alure	120	5.591	1	197	19.242	75.67	1085.85
siler	123	5.589	1	206	18.772	78.39	1119.23
scrae	121	5.587	1	237	19.083	80.93	1180.24
reais	114	5.587	1	167	20.254	71.35	1034.98
liart	122	5.584	1	218	18.926	81.13	1177.27
siren	129	5.584	1	243	17.899	84.02	1183.59
tiler	131	5.584	1	209	17.626	79.95	1098.46
thrae	137	5.581	1	261	16.854	87.02	1182.59
snore	130	5.577	1	236	17.762	82.43	1148.66
reans	114	5.577	1	219	20.254	78.11	1171.87
ranes	117	5.576	1	219	19.735	75.21	1094.83
ariot	128	5.575	1	232	18.039	85.13	1210.27
rione	121	5.574	1	218	19.083	80.42	1170.54
derat	135	5.574	1	268	17.104	89.05	1230.48
taels	119	5.573	1	236	19.403	84.37	1260.66
noire	118	5.573	1	218	19.568	80.15	1185.41
caste	126	5.571	1	248	18.325	85.22	1225.95
crise	120	5.568	1	255	19.242	85.85	1281.73
